FID;id;nom_comm;insee_comm;superficie;population;insee_dep;nom_comm_1;nouvelles;EPCI;INSEE_ID
313;BDCSURCO0000000009599322;Montrevault-sur-Evre;49218;19960;16046;49;Montrevault sur Evre;CN;Mauges Communauté;49218
314;BDCSURCO0000000009599578;Montsoreau;49219;540;447;49; ; ;Communauté d'Agglomération Saumur Val de Loire;49219
315;BDCSURCO0000000009597214;Morannes-sur-Sarthe-Daumeray;49220;8829;3608;49;Morannes-sur-Sarthe-Daumeray;CN;Communauté de communes Anjou Loir et Sarthe;49220
316;BDCSURCO0000000009598703;Mouliherne;49221;4101;865;49; ; ;Communauté d'Agglomération Saumur Val de Loire;49221
317;BDCSURCO0000000009599028;Mozé-sur-Louet;49222;2602;2033;49; ; ;Communauté de communes Loire Layon Aubance;49222
318;BDCSURCO0000000009598715;Mûrs-Erigné;49223;1739;5335;49; ; ;Communauté Urbaine d'Angers Loire Métropole;49223
319;BDCSURCO0000000009599009;Neuillé;49224;1393;992;49; ; ;Communauté d'Agglomération Saumur Val de Loire;49224
320;BDCSURCO0000000009598410;Noyant-Villages;49228;30054;5869;49;Noyant-Villages;CN;Communauté de communes Beaugeois Vallée;49228
321;BDCSURCO0000000009600124;Nuaillé;49231;1364;1530;49; ; ;Agglomération du Choletais;49231
322;BDCSURCO0000000009599583;Parnay;49235;672;466;49; ; ;Communauté d'Agglomération Saumur Val de Loire;49235
323;BDCSURCO0000000009600116;Passavant-sur-Layon;49236;490;126;49; ; ;Agglomération du Choletais;49236
324;BDCSURCO0000000009598403;La Pellerine;49237;540;156;49; ; ;Communauté de communes Beaugeois Vallée;49237
325;BDCSURCO0000000009600381;La Plaine;49240;2225;1035;49; ; ;Agglomération du Choletais;49240
326;BDCSURCO0000000009598420;Le Plessis-Grammoire;49241;945;2328;49; ; ;Communauté Urbaine d'Angers Loire Métropole;49241
327;BDCSURCO0000000009599035;Mauges-sur-Loire;49244;19400;18286;49;Mauges sur Loire;CN;Mauges Communauté;49244
328;BDCSURCO0000000009598714;Les Ponts-de-Cé;49246;1948;12338;49; ; ;Communauté Urbaine d'Angers Loire Métropole;49246
329;BDCSURCO0000000009598722;La Possonnière;49247;1865;2423;49; ; ;Communauté de communes Loire Layon Aubance;49247
330;BDCSURCO0000000009596884;Ombrée d'Anjou;49248;20495;8966;49;Ombrée d'Anjou;CN;Anjou Bleu Communauté;49248
